Year,State,CO2_annual
2011,NE,109003548
2011,NH,20507896
2011,NJ,67667416
2011,NM,124656760
2011,NV,58993108
2011,NY,149023500
2011,OH,449278708
2011,OK,205455752
2011,OR,26885564
2011,PA,469721056
2011,RI,14380184
2011,SC,154880520
2011,SD,11645600
2011,TN,181888348
2011,TX,1069856368
2011,US-TOTAL,9148282920
2011,UT,135770188
2011,VA,130546920
2011,VT,96016
2011,WA,32915604
2011,WI,185028512
2011,WV,288812440
2011,WY,180789696
2012,AK,17219044
2012,AL,276426600
2012,AR,144935616
2012,AZ,209398556
2012,CA,237476048
2012,CO,159703108
2012,CT,35948356
2012,DC,264460
2012,DE,19924208
2012,FL,444945972
2012,GA,236140248
2012,HI,30499176
2012,IA,165067940
2012,ID,4687740
2012,IL,377642996
2012,IN,399092408
2012,KS,126771376
2012,KY,342731088
2012,LA,240728576
2012,MA,57385556
2012,MD,82786624
2012,ME,14889740
2012,MI,271506380
2012,MN,113975264
2012,MO,302178744
2012,MS,97139360
2012,MT,64096384
2012,NC,231695308
2012,ND,123736196
2012,NE,105869944
2012,NH,17178232
2012,NJ,64481324
2012,NM,116650204
2012,NV,59716772
2012,NY,142674992
2012,OH,382091616
2012,OK,196745688
2012,OR,29460756
2012,PA,439986788
2012,RI,13613608
2012,SC,136950220
2012,SD,13075596
2012,TN,166963828
2012,TX,1014757084
2012,US-TOTAL,8627499108
2012,UT,129936112
2012,VA,116892756
2012,VT,49168
2012,WA,27959904
2012,WI,164785712
2012,WV,268812296
2012,WY,189853436
2013,AK,15072948
2013,AL,267944108
2013,AR,149382320
2013,AZ,221368536
2013,CA,229293388
2013,CO,157549268
2013,CT,34905548
2013,DC,194904
2013,DE,18886976
2013,FL,433722740
2013,GA,227248572
2013,HI,29712748
2013,IA,156699292
2013,ID,7767012
2013,IL,391248432
2013,IN,395580724
2013,KS,132501404
2013,KY,341215496
2013,LA,233094852
2013,MA,58940112
2013,MD,75798944
2013,ME,14701624
2013,MI,268770612
2013,MN,117021528
2013,MO,313377836
2013,MS,90533584
2013,MT,67802732
2013,NC,227758064
2013,ND,121096140
2013,NE,112171608
2013,NH,13789816
2013,NJ,63155384
2013,NM,114138816
2013,NV,62761820
2013,NY,133825588
2013,OH,409862800
2013,OK,185071300
2013,OR,37999180
2013,PA,434916188
2013,RI,11351200
2013,SC,115237696
2013,SD,12911088
2013,TN,152470992
2013,TX,1029858376
2013,US-TOTAL,8689419860
2013,UT,142794828
2013,VA,138745816
2013,VT,58528
2013,WA,50170204
2013,WI,190744304
2013,WV,275447424
2013,WY,202746460
2014,AK,14230604
2014,AL,270538148
2014,AR,149154400
2014,AZ,214736320
2014,CA,230026260
2014,CO,153894444
2014,CT,33809384
2014,DC,193584
2014,DE,17105660
2014,FL,452582768
2014,GA,250063812
2014,HI,29791996
2014,IA,157248336
2014,ID,5966212
2014,IL,386496232
2014,IN,418542396
2014,KS,127174160
2014,KY,343180156
2014,LA,228546036
2014,MA,51668436
2014,MD,82804700
2014,ME,13611640
2014,MI,257055180
2014,MN,130709964
2014,MO,302940376
2014,MS,96149392
2014,MT,70710564
2014,NC,234312132
2014,ND,121678768
2014,NE,105392128
2014,NH,13831364
2014,NJ,73454340
2014,NM,98849844
2014,NV,64886832
2014,NY,136288372
2014,OH,394601336
2014,OK,176250420
2014,OR,33478988
2014,PA,408086732
2014,RI,10263848
2014,SC,132331028
2014,SD,12373664
2014,TN,165620872
2014,TX,1017950552
2014,US-TOTAL,8673137100
2014,UT,140817948
2014,VA,134935216
2014,VT,55140
2014,WA,49937328
2014,WI,175039620
2014,WV,294422436
2014,WY,189347032
2015,AK,14705828
2015,AL,257767168
2015,AR,114348776
2015,AZ,200804648
2015,CA,221925124
2015,CO,149653200
