State,Year,Fuels_ratio,coal_ratio,natural_gas_ratio,crude_oil_ratio,renewable_ratio
NH,1976,0.0,0.0,0.0,0.0,1.0
NH,1977,0.0,0.0,0.0,0.0,1.0
NH,1978,0.0,0.0,0.0,0.0,1.0
NH,1979,0.0,0.0,0.0,0.0,1.0
NH,1980,0.0,0.0,0.0,0.0,1.0
NH,1981,0.0,0.0,0.0,0.0,1.0
NH,1982,0.0,0.0,0.0,0.0,1.0
NH,1983,0.0,0.0,0.0,0.0,1.0
NH,1984,0.0,0.0,0.0,0.0,1.0
NH,1985,0.0,0.0,0.0,0.0,1.0
NH,1986,0.0,0.0,0.0,0.0,1.0
NH,1987,0.0,0.0,0.0,0.0,1.0
NH,1988,0.0,0.0,0.0,0.0,1.0
NH,1989,0.0,0.0,0.0,0.0,1.0
NH,1990,0.0,0.0,0.0,0.0,0.5202319845343644
NH,1991,0.0,0.0,0.0,0.0,0.36493601527780256
NH,1992,0.0,0.0,0.0,0.0,0.3387639141914721
NH,1993,0.0,0.0,0.0,0.0,0.3087688670667394
NH,1994,0.0,0.0,0.0,0.0,0.3836194604460161
NH,1995,0.0,0.0,0.0,0.0,0.3095936387446872
NH,1996,0.0,0.0,0.0,0.0,0.3153834948885004
NH,1997,0.0,0.0,0.0,0.0,0.3355234966433367
NH,1998,0.0,0.0,0.0,0.0,0.3156547980151508
NH,1999,0.0,0.0,0.0,0.0,0.30026317211147385
NH,2000,0.0,0.0,0.0,0.0,0.31854961769096896
NH,2001,0.0,0.0,0.0,0.0,0.2495453192685427
NH,2002,0.0,0.0,0.0,0.0,0.22942437475188568
NH,2003,0.0,0.0,0.0,0.0,0.23591012195025568
NH,2004,0.0,0.0,0.0,0.0,0.24758603088178996
NH,2005,0.0,0.0,0.0,0.0,0.294977495177538
NH,2006,0.0,0.0,0.0,0.0,0.25236715712434243
NH,2007,0.0,0.0,0.0,0.0,0.23562864319226576
NH,2008,0.0,0.0,0.0,0.0,0.28982726922601787
NH,2009,0.0,0.0,0.0,0.0,0.3297475668878697
NH,2010,0.0,0.0,0.0,0.0,0.28361959567276884
NH,2011,0.0,0.0,0.0,0.0,0.34519604908709967
NH,2012,0.0,0.0,0.0,0.0,0.3420608755654374
NH,2013,0.0,0.0,0.0,0.0,0.31664252624522676
NH,2014,0.0,0.0,0.0,0.0,0.34305622475075054
NH,2015,0.0,0.0,0.0,0.0,0.3820980693874245
NH,2016,0.0,0.0,0.0,0.0,0.33336294822132984
NH,2017,0.0,0.0,0.0,0.0,0.3642199155481461
NH,2018,0.0,0.0,0.0,0.0,0.34794332044034515
NH,2019,0.0,0.0,0.0,0.0,0.32964872627960634
NH,2020,0.0,0.0,0.0,0.0,0.30715289403443663
NH,2021,0.0,0.0,0.0,0.0,0.3029929660896468
NJ,1960,0.0,0.0,0.0,0.0,1.0
